date,day_of_week,season,location,listing_type,base_price,demand_index,competitor_avg_price,occupancy_rate,event,customer_rating,lead_time,weather_score,final_price,discount_offered
2025-02-04,Tuesday,Winter,Chicago,Hostel,69.62,1.0,68.78,49.57,Yes,4.8,59,0.31,76.15,18.9
2025-02-05,Wednesday,Winter,Miami,Hostel,242.68,0.97,287.68,89.71,No,3.6,20,0.43,317.21,0.0
2025-02-06,Thursday,Winter,Austin,Hostel,170.81,0.59,162.11,57.63,No,4.7,2,0.7,180.87,0.0
2025-02-07,Friday,Winter,Chicago,Airbnb,93.73,0.69,112.1,39.81,Yes,4.0,1,0.53,92.22,17.7
2025-02-08,Saturday,Winter,Miami,Hostel,111.48,0.77,113.84,50.76,No,3.8,49,0.91,123.77,0.0
2025-02-09,Sunday,Winter,San Francisco,Hotel,460.96,0.61,461.24,85.88,No,4.3,45,0.86,530.86,0.0
2025-02-10,Monday,Winter,Austin,Hostel,450.5,0.47,428.08,36.58,Yes,4.2,21,0.53,458.43,7.3
2025-02-11,Tuesday,Winter,Miami,Hotel,491.83,0.87,562.73,47.52,Yes,3.1,14,0.55,590.94,6.9
2025-02-12,Wednesday,Winter,Boston,Hotel,285.01,0.82,252.61,73.6,No,3.2,44,0.44,341.67,0.0
2025-02-13,Thursday,Winter,San Francisco,Hostel,235.11,0.76,201.1,39.29,Yes,4.9,41,0.53,238.72,16.9
2025-02-14,Friday,Winter,Austin,Airbnb,171.87,0.55,142.89,31.77,Yes,4.9,22,0.6,162.36,15.3
2025-02-15,Saturday,Winter,Chicago,Airbnb,76.19,0.93,74.43,46.79,No,3.2,24,0.76,80.41,9.2
2025-02-16,Sunday,Winter,Chicago,Hotel,479.69,0.79,490.12,72.82,No,3.8,11,0.7,568.17,0.0
2025-02-17,Monday,Winter,Boston,Hostel,121.39,0.3,113.71,36.43,No,3.2,29,0.9,90.09,15.6
2025-02-18,Tuesday,Winter,San Francisco,Hotel,263.38,0.28,262.5,63.14,No,3.3,29,0.75,236.3,5.7
2025-02-19,Wednesday,Winter,Chicago,Hotel,477.12,0.91,431.49,31.07,No,4.9,31,0.9,449.56,14.9
2025-02-20,Thursday,Winter,New York,Airbnb,123.32,0.26,130.35,31.86,No,4.2,26,0.86,88.84,15.2
2025-02-21,Friday,Winter,Austin,Hostel,308.02,0.3,346.36,87.44,Yes,4.3,0,0.97,296.44,18.6
2025-02-22,Saturday,Winter,Chicago,Hostel,138.11,0.26,116.06,31.28,No,3.2,34,0.54,99.77,14.8
2025-02-23,Sunday,Winter,Seattle,Hostel,223.43,0.75,209.19,48.25,Yes,4.0,57,0.79,238.06,14.4
2025-02-24,Monday,Winter,Miami,Hostel,444.86,0.79,498.86,49.74,Yes,3.4,8,0.7,486.3,13.6
2025-02-25,Tuesday,Winter,Austin,Hotel,379.24,0.3,341.32,70.64,Yes,4.7,31,0.9,380.33,11.4
2025-02-26,Wednesday,Winter,Miami,Hotel,387.89,0.8,326.31,93.18,No,4.0,47,0.57,484.68,0.0
2025-02-27,Thursday,Winter,San Francisco,Hotel,183.94,0.28,151.09,97.1,No,4.7,8,0.52,156.35,19.3
2025-02-28,Friday,Winter,Boston,Airbnb,477.77,0.66,502.97,61.39,Yes,3.6,24,0.69,596.34,0.0
2025-03-01,Saturday,Spring,Seattle,Hostel,145.73,0.96,162.13,37.94,No,4.9,57,0.34,145.19,13.2
2025-03-02,Sunday,Spring,Miami,Hotel,248.69,0.91,233.86,38.19,Yes,3.3,9,0.89,260.74,18.0
2025-03-03,Monday,Spring,Chicago,Hostel,427.32,0.54,379.9,57.77,No,4.8,1,0.36,444.12,0.0
2025-03-04,Tuesday,Spring,New York,Hotel,88.18,0.99,83.75,55.94,No,4.6,6,0.99,107.03,0.0
2025-03-05,Wednesday,Spring,Los Angeles,Hotel,389.02,0.5,324.21,84.4,Yes,4.1,26,0.47,487.52,0.0
2025-03-06,Thursday,Spring,San Francisco,Airbnb,198.61,0.55,179.04,58.36,No,4.1,19,0.38,207.56,0.0
2025-03-07,Friday,Spring,Miami,Hotel,102.89,0.72,113.02,70.84,No,4.9,59,0.5,118.38,0.0
2025-03-08,Saturday,Spring,Seattle,Airbnb,440.87,0.38,522.56,30.85,No,4.9,46,0.92,343.5,12.9
2025-03-09,Sunday,Spring,Seattle,Hotel,496.83,0.26,507.53,97.85,No,4.0,40,0.45,471.53,9.4
2025-03-10,Monday,Spring,Chicago,Hotel,498.12,0.76,475.05,81.6,No,4.8,9,0.97,597.15,0.0
2025-03-11,Tuesday,Spring,San Francisco,Airbnb,450.62,0.56,472.27,49.42,Yes,3.4,25,0.57,483.87,8.4
2025-03-12,Wednesday,Spring,San Francisco,Airbnb,169.67,0.49,153.38,61.73,No,3.1,8,0.52,174.96,0.0
2025-03-13,Thursday,Spring,Seattle,Hotel,416.21,0.75,360.04,93.76,Yes,4.6,17,0.59,574.9,0.0
2025-03-14,Friday,Spring,Austin,Hotel,311.52,0.94,259.53,91.37,Yes,4.1,4,0.32,451.74,0.0
2025-03-15,Saturday,Spring,San Francisco,Hostel,219.41,0.85,262.18,40.53,No,4.2,24,0.98,200.97,17.6
2025-03-16,Sunday,Spring,Miami,Hostel,427.25,0.57,412.69,49.14,Yes,3.1,5,0.78,436.91,13.0
2025-03-17,Monday,Spring,Austin,Airbnb,387.46,0.93,400.66,80.83,Yes,4.5,18,0.47,548.06,0.0
2025-03-18,Tuesday,Spring,New York,Hotel,252.74,0.3,298.64,72.43,No,3.5,48,0.83,235.31,5.7
2025-03-19,Wednesday,Spring,Austin,Hotel,170.9,0.22,170.77,63.33,No,4.7,49,0.9,137.5,13.3
2025-03-20,Thursday,Spring,Boston,Airbnb,302.42,0.9,290.74,39.38,Yes,3.1,14,0.85,330.11,14.6
2025-03-21,Friday,Spring,New York,Airbnb,412.27,0.92,431.61,98.63,No,4.2,17,0.57,541.68,0.0
2025-03-22,Saturday,Spring,Austin,Hostel,246.86,0.92,231.88,65.98,No,4.6,59,0.51,300.17,0.0
2025-03-23,Sunday,Spring,Boston,Hostel,285.62,0.76,319.49,62.15,Yes,4.7,16,0.48,368.58,0.0
2025-03-24,Monday,Spring,Seattle,Hotel,256.61,0.98,255.85,53.01,No,4.3,47,0.54,308.2,0.0
2025-03-25,Tuesday,Spring,Miami,Hostel,291.77,0.57,301.66,58.02,No,4.4,3,0.43,306.96,0.0
2025-03-26,Wednesday,Spring,Seattle,Airbnb,205.55,0.92,203.41,76.73,No,3.3,57,0.46,256.57,0.0
2025-03-27,Thursday,Spring,Chicago,Hostel,419.81,0.48,394.22,32.23,Yes,4.1,4,0.62,420.02,8.1
2025-03-28,Friday,Spring,Chicago,Airbnb,213.92,0.6,230.21,32.75,No,4.6,56,0.78,184.56,12.7
2025-03-29,Saturday,Spring,New York,Hostel,120.64,0.5,96.64,90.78,No,3.2,34,0.43,135.4,0.0
2025-03-30,Sunday,Spring,Miami,Hotel,144.21,0.5,143.32,73.28,No,3.7,23,0.8,154.28,0.0
2025-03-31,Monday,Spring,San Francisco,Airbnb,78.05,0.32,66.6,78.1,No,4.7,42,0.67,73.8,6.6
2025-04-01,Tuesday,Spring,San Francisco,Hotel,251.34,0.63,225.45,48.85,No,3.8,9,0.69,217.16,17.6
2025-04-02,Wednesday,Spring,Los Angeles,Hostel,90.14,0.63,80.52,54.0,No,3.9,9,0.85,95.91,0.0
2025-04-03,Thursday,Spring,Boston,Hostel,274.3,0.27,278.37,71.08,No,4.5,48,0.7,237.9,10.7
2025-04-04,Friday,Spring,Seattle,Hotel,201.85,0.92,210.53,47.1,No,4.0,5,0.72,213.88,8.6
2025-04-05,Saturday,Spring,Austin,Hotel,95.8,0.32,86.07,41.25,Yes,3.4,29,0.42,82.12,18.5
2025-04-06,Sunday,Spring,Boston,Airbnb,86.11,0.62,83.02,98.77,No,3.2,1,0.7,102.84,0.0
2025-04-07,Monday,Spring,Boston,Hotel,462.83,0.2,550.78,64.35,Yes,4.4,56,0.8,432.08,13.0
2025-04-08,Tuesday,Spring,Austin,Airbnb,264.48,0.87,233.28,97.76,Yes,4.4,19,0.66,381.19,0.0
2025-04-09,Wednesday,Spring,Los Angeles,Hotel,159.08,0.29,166.12,50.2,No,4.2,10,0.95,131.52,9.8
2025-04-10,Thursday,Spring,Chicago,Airbnb,317.25,0.5,311.45,68.4,Yes,4.1,1,0.53,382.35,0.0
2025-04-11,Friday,Spring,Chicago,Airbnb,414.44,0.4,444.53,83.22,No,4.2,23,0.72,439.17,0.0
2025-04-12,Saturday,Spring,San Francisco,Hostel,407.43,0.29,464.59,82.22,No,3.8,52,0.81,333.79,19.1
2025-04-13,Sunday,Spring,Boston,Airbnb,131.55,0.25,144.24,70.21,Yes,4.7,7,0.88,122.29,16.3
2025-04-14,Monday,Spring,Chicago,Airbnb,409.79,0.86,358.39,46.5,Yes,4.3,3,0.52,453.39,13.8
2025-04-15,Tuesday,Spring,Miami,Hotel,357.34,0.56,387.9,92.98,No,4.2,32,0.82,411.99,0.0
2025-04-16,Wednesday,Spring,Seattle,Hostel,276.22,0.39,320.37,56.87,Yes,4.1,39,0.46,270.42,13.1
2025-04-17,Thursday,Spring,Chicago,Hotel,244.19,0.47,266.71,78.56,Yes,3.3,46,0.73,298.81,0.0
2025-04-18,Friday,Spring,Los Angeles,Hotel,290.06,0.92,323.54,40.62,No,3.6,36,0.85,307.16,7.1
2025-04-19,Saturday,Spring,Miami,Hotel,142.05,0.77,141.71,82.82,No,3.2,12,0.38,171.38,0.0
2025-04-20,Sunday,Spring,Austin,Hostel,430.9,0.3,413.2,85.81,No,3.3,46,0.59,369.23,16.6
2025-04-21,Monday,Spring,Austin,Airbnb,55.49,0.68,56.94,80.13,No,4.2,19,0.43,64.5,0.0
2025-04-22,Tuesday,Spring,Los Angeles,Hotel,458.8,0.67,440.6,62.34,Yes,4.9,11,0.94,575.8,0.0
2025-04-23,Wednesday,Spring,San Francisco,Hostel,112.6,0.28,101.61,80.83,No,4.2,43,0.7,95.69,15.4
2025-04-24,Thursday,Spring,Austin,Airbnb,465.12,0.77,400.48,70.34,Yes,4.2,53,0.35,613.5,0.0
2025-04-25,Friday,Spring,San Francisco,Airbnb,96.91,0.87,112.83,38.6,No,3.5,25,0.89,100.49,6.9
2025-04-26,Saturday,Spring,Boston,Hotel,464.38,0.9,467.88,71.39,Yes,3.8,8,0.82,638.14,0.0
2025-04-27,Sunday,Spring,San Francisco,Hotel,142.51,0.83,148.42,38.0,Yes,3.8,25,0.94,159.46,10.2
2025-04-28,Monday,Spring,Boston,Airbnb,206.13,0.79,202.19,45.72,No,3.9,50,0.47,196.24,13.7
2025-04-29,Tuesday,Spring,New York,Hostel,124.48,0.23,115.09,84.63,Yes,3.6,25,0.31,121.24,15.0
2025-04-30,Wednesday,Spring,Boston,Hostel,130.12,0.97,111.83,59.02,Yes,3.2,39,0.65,177.62,0.0
2025-05-01,Thursday,Spring,New York,Airbnb,317.92,0.25,349.71,44.69,No,4.8,31,0.63,240.59,14.4
2025-05-02,Friday,Spring,Boston,Airbnb,219.98,0.87,227.68,50.58,No,4.4,49,0.67,252.92,0.0
2025-05-03,Saturday,Spring,Miami,Airbnb,248.34,0.52,254.26,40.87,No,3.4,28,0.35,203.83,16.3
2025-05-04,Sunday,Spring,Miami,Hotel,172.54,0.92,174.37,86.05,No,5.0,31,0.8,220.19,0.0
2025-05-05,Monday,Spring,Boston,Hotel,346.52,0.22,307.98,46.18,No,4.3,7,0.37,252.1,17.0
2025-05-06,Tuesday,Spring,Seattle,Hotel,130.35,0.72,116.7,36.96,Yes,3.5,13,0.72,129.55,17.1
2025-05-07,Wednesday,Spring,Miami,Airbnb,483.19,0.96,413.82,58.45,No,3.6,17,0.31,584.35,0.0
2025-05-08,Thursday,Spring,New York,Hostel,88.48,0.37,71.72,42.7,No,4.2,59,0.79,66.62,18.7
2025-05-09,Friday,Spring,Boston,Airbnb,331.14,0.47,374.2,55.41,No,3.1,19,0.74,332.54,0.0
2025-05-10,Saturday,Spring,Austin,Hostel,234.24,0.64,228.26,50.61,Yes,4.9,21,0.85,282.92,0.0
2025-05-11,Sunday,Spring,San Francisco,Airbnb,101.41,0.65,121.1,62.97,No,3.4,49,0.32,111.44,0.0
2025-05-12,Monday,Spring,Miami,Airbnb,170.9,0.63,180.02,48.05,No,3.3,42,0.6,166.27,7.0
2025-05-13,Tuesday,Spring,Boston,Hostel,455.26,0.75,488.62,87.58,No,4.1,41,0.7,552.11,0.0
2025-05-14,Wednesday,Spring,New York,Hotel,173.32,0.64,183.82,88.08,No,3.4,41,0.4,202.83,0.0
2025-05-15,Thursday,Spring,Boston,Hotel,168.66,0.41,184.32,47.55,Yes,4.3,52,0.42,151.75,18.7
2025-05-16,Friday,Spring,New York,Hotel,238.45,0.51,240.25,33.29,Yes,3.3,42,0.43,246.37,6.4
2025-05-17,Saturday,Spring,Boston,Hostel,396.94,0.25,450.46,60.6,No,4.8,58,0.51,319.94,13.5
2025-05-18,Sunday,Spring,Los Angeles,Hostel,264.22,0.73,310.39,81.28,No,3.4,35,0.68,313.32,0.0
2025-05-19,Monday,Spring,Seattle,Airbnb,122.91,0.87,139.94,96.87,No,3.3,8,0.84,158.38,0.0
2025-05-20,Tuesday,Spring,Seattle,Hostel,97.97,0.26,106.91,64.68,No,4.4,41,0.62,87.21,6.1
2025-05-21,Wednesday,Spring,New York,Hotel,84.99,0.2,100.89,30.37,Yes,3.2,36,0.36,67.01,18.8
2025-05-22,Thursday,Spring,Miami,Airbnb,111.57,0.96,109.16,42.96,No,4.1,23,0.83,110.8,14.6
2025-05-23,Friday,Spring,Austin,Hotel,391.57,0.78,413.06,98.64,No,4.8,11,0.45,492.56,0.0
2025-05-24,Saturday,Spring,Austin,Hotel,494.45,0.96,403.36,79.39,No,4.9,22,0.69,629.02,0.0
2025-05-25,Sunday,Spring,Austin,Hotel,262.94,0.45,223.03,81.17,No,3.4,7,0.98,282.27,0.0
2025-05-26,Monday,Spring,Austin,Airbnb,474.92,0.58,543.7,89.12,Yes,3.6,41,0.75,617.09,0.0
2025-05-27,Tuesday,Spring,Austin,Hotel,342.58,0.49,350.89,63.67,No,4.8,42,0.54,355.26,0.0
2025-05-28,Wednesday,Spring,Seattle,Hostel,376.15,0.25,348.36,67.76,No,4.6,24,0.82,312.68,12.8
2025-05-29,Thursday,Spring,Miami,Hostel,242.07,0.9,234.08,62.34,Yes,5.0,58,0.91,326.07,0.0
2025-05-30,Friday,Spring,Chicago,Hotel,288.02,0.95,322.44,99.86,No,3.7,48,0.58,382.95,0.0
2025-05-31,Saturday,Spring,Miami,Hotel,265.94,0.7,305.69,98.89,No,4.5,24,0.54,326.22,0.0
2025-06-01,Sunday,Summer,New York,Airbnb,285.13,0.79,228.49,62.71,No,3.6,49,0.51,329.08,0.0
2025-06-02,Monday,Summer,Austin,Hostel,155.12,0.23,125.21,99.14,No,3.9,48,0.57,150.11,6.9
2025-06-03,Tuesday,Summer,Los Angeles,Airbnb,480.39,0.84,434.08,71.2,No,5.0,45,0.72,576.28,0.0
2025-06-04,Wednesday,Summer,Seattle,Airbnb,456.68,0.99,501.13,34.55,No,3.8,28,0.75,450.99,14.1
2025-06-05,Thursday,Summer,New York,Hostel,280.71,0.38,244.39,45.43,No,3.4,2,0.88,218.61,17.0
2025-06-06,Friday,Summer,Chicago,Hotel,333.4,0.37,335.84,71.81,No,4.1,58,0.58,282.47,16.4
2025-06-07,Saturday,Summer,Boston,Hostel,363.21,0.32,409.1,45.71,No,3.4,46,0.32,271.22,18.4
2025-06-08,Sunday,Summer,Chicago,Airbnb,437.06,0.57,418.03,49.11,No,4.0,2,0.97,367.91,17.9
2025-06-09,Monday,Summer,Seattle,Airbnb,414.28,0.72,422.71,36.09,No,3.8,14,0.3,366.7,15.4
2025-06-10,Tuesday,Summer,Austin,Hotel,71.95,0.63,85.25,37.66,No,4.8,12,0.9,63.97,12.4
2025-06-11,Wednesday,Summer,San Francisco,Hostel,266.26,0.67,300.84,54.35,No,4.4,26,0.91,287.84,0.0
2025-06-12,Thursday,Summer,San Francisco,Airbnb,380.26,0.62,436.26,47.17,No,3.3,47,0.8,325.71,17.6
2025-06-13,Friday,Summer,New York,Airbnb,363.86,0.74,381.12,82.69,No,3.3,42,0.97,434.47,0.0
2025-06-14,Saturday,Summer,Austin,Hotel,259.46,0.9,208.1,87.4,No,3.5,38,0.41,330.09,0.0
2025-06-15,Sunday,Summer,Austin,Hostel,418.09,0.87,419.34,30.45,Yes,3.6,45,0.53,448.73,13.4
2025-06-16,Monday,Summer,Boston,Airbnb,102.13,0.5,82.07,87.31,No,3.3,18,0.83,113.56,0.0
2025-06-17,Tuesday,Summer,Seattle,Hostel,293.57,0.97,275.0,74.28,No,4.9,28,0.85,370.14,0.0
2025-06-18,Wednesday,Summer,Los Angeles,Hotel,128.19,0.82,151.13,41.65,Yes,4.5,16,0.71,144.24,10.2
2025-06-19,Thursday,Summer,Miami,Hostel,329.41,0.24,378.37,98.14,Yes,4.9,35,0.75,337.63,13.9
2025-06-20,Friday,Summer,Austin,Airbnb,222.63,0.25,251.26,56.03,No,4.6,10,0.78,180.48,11.7
2025-06-21,Saturday,Summer,New York,Hotel,173.13,1.0,168.02,61.6,No,3.3,54,0.88,213.78,0.0
2025-06-22,Sunday,Summer,Seattle,Airbnb,184.27,0.87,204.38,46.1,No,3.3,2,0.97,194.1,7.3
2025-06-23,Monday,Summer,Chicago,Hotel,244.55,0.95,236.7,74.7,Yes,3.8,56,0.61,343.37,0.0
2025-06-24,Tuesday,Summer,Boston,Hostel,190.38,0.46,207.47,82.21,Yes,3.4,48,0.76,234.29,0.0
2025-06-25,Wednesday,Summer,Seattle,Hotel,215.84,0.89,213.53,97.77,Yes,3.4,16,0.36,312.82,0.0
2025-06-26,Thursday,Summer,Los Angeles,Hotel,119.15,0.56,120.6,31.25,Yes,4.6,43,0.32,108.14,18.8
2025-06-27,Friday,Summer,Los Angeles,Airbnb,327.49,0.84,325.07,38.21,No,3.3,43,0.47,312.15,13.4
2025-06-28,Saturday,Summer,Los Angeles,Hostel,151.49,0.33,160.67,52.81,No,4.2,7,0.52,125.66,11.8
2025-06-29,Sunday,Summer,Boston,Hostel,55.23,0.26,52.85,63.6,Yes,4.2,31,0.76,50.55,16.4
2025-06-30,Monday,Summer,Chicago,Hotel,478.69,0.93,521.64,82.44,No,3.3,11,0.99,607.61,0.0
2025-07-01,Tuesday,Summer,Seattle,Airbnb,114.12,0.6,119.51,79.17,Yes,4.1,31,0.96,145.79,0.0
2025-07-02,Wednesday,Summer,Austin,Hotel,82.59,0.63,95.23,35.78,No,4.6,25,0.58,77.52,7.0
2025-07-03,Thursday,Summer,New York,Hotel,305.39,0.75,342.11,44.01,No,3.3,48,0.97,307.64,6.9
2025-07-04,Friday,Summer,Austin,Hotel,453.3,0.68,474.44,72.91,No,3.6,11,0.91,517.09,0.0
2025-07-05,Saturday,Summer,Los Angeles,Hostel,371.34,0.84,347.49,87.04,No,3.2,19,0.69,463.11,0.0
2025-07-06,Sunday,Summer,Miami,Hostel,318.86,0.83,316.42,32.85,Yes,3.3,13,0.36,369.22,5.9
2025-07-07,Monday,Summer,Boston,Hotel,161.2,0.33,185.17,45.34,Yes,5.0,35,0.82,141.0,18.1
2025-07-08,Tuesday,Summer,New York,Hostel,245.14,0.23,211.96,31.46,Yes,4.3,36,1.0,194.41,19.6
2025-07-09,Wednesday,Summer,Boston,Hostel,342.65,0.36,367.35,35.05,No,3.1,32,0.89,284.68,7.6
2025-07-10,Thursday,Summer,Chicago,Airbnb,482.35,0.53,549.15,74.01,No,4.5,19,0.65,522.88,0.0
2025-07-11,Friday,Summer,Miami,Airbnb,294.49,0.61,304.86,32.06,Yes,3.8,35,0.91,273.65,18.5
2025-07-12,Saturday,Summer,Miami,Hotel,239.77,0.42,248.63,93.87,Yes,3.4,44,0.63,299.62,0.0
2025-07-13,Sunday,Summer,Miami,Airbnb,426.2,0.39,473.25,58.37,Yes,4.2,41,0.47,387.59,19.6
2025-07-14,Monday,Summer,Miami,Hostel,131.44,0.88,131.03,47.31,Yes,4.7,46,0.72,146.77,13.7
2025-07-15,Tuesday,Summer,Miami,Airbnb,348.18,0.28,369.37,51.85,No,3.8,34,0.76,287.84,9.9
2025-07-16,Wednesday,Summer,Austin,Hotel,398.06,0.3,472.87,61.77,No,3.5,2,0.61,342.24,10.0
2025-07-17,Thursday,Summer,Boston,Hotel,251.95,0.74,216.25,61.46,No,4.2,11,0.79,284.8,0.0
2025-07-18,Friday,Summer,Boston,Airbnb,125.17,0.33,101.97,81.55,Yes,4.3,36,0.85,124.3,15.6
2025-07-19,Saturday,Summer,Chicago,Hotel,250.87,0.89,256.7,67.79,No,3.1,13,0.34,303.39,0.0
2025-07-20,Sunday,Summer,New York,Hotel,289.03,0.95,235.77,38.55,No,3.9,52,0.36,309.61,6.5
2025-07-21,Monday,Summer,Miami,Hostel,313.1,0.75,300.25,63.59,Yes,4.4,33,0.53,404.14,0.0
2025-07-22,Tuesday,Summer,Seattle,Hotel,487.89,0.66,439.93,66.52,No,3.7,37,0.4,543.29,0.0
2025-07-23,Wednesday,Summer,Los Angeles,Hotel,63.49,0.45,68.69,44.13,No,4.3,49,0.43,51.32,16.0
2025-07-24,Thursday,Summer,Boston,Hostel,120.27,0.39,142.56,47.87,No,4.3,54,0.96,96.85,15.2
2025-07-25,Friday,Summer,Los Angeles,Hostel,273.73,0.69,314.12,69.94,No,3.1,7,0.86,310.91,0.0
2025-07-26,Saturday,Summer,Los Angeles,Hotel,463.41,0.68,545.13,87.88,No,4.3,40,0.37,549.44,0.0
2025-07-27,Sunday,Summer,Seattle,Hostel,346.03,1.0,283.5,98.4,No,3.8,47,0.83,465.48,0.0
2025-07-28,Monday,Summer,Los Angeles,Hotel,90.72,0.43,76.54,75.54,No,4.5,3,0.77,95.13,0.0
2025-07-29,Tuesday,Summer,Seattle,Hotel,413.53,0.81,462.79,60.49,No,4.6,23,0.51,477.82,0.0
2025-07-30,Wednesday,Summer,Miami,Hostel,342.08,0.46,359.9,72.69,Yes,4.1,18,0.57,411.2,0.0
2025-07-31,Thursday,Summer,Miami,Hotel,251.91,0.39,239.14,45.91,Yes,3.1,34,0.42,235.29,14.6
2025-08-01,Friday,Summer,Chicago,Airbnb,391.7,0.6,398.34,96.6,No,4.7,27,0.32,462.13,0.0
2025-08-02,Saturday,Summer,Austin,Hostel,203.56,0.5,195.32,70.61,Yes,4.1,14,0.58,246.68,0.0
2025-08-03,Sunday,Summer,Seattle,Hotel,297.24,0.8,322.86,66.49,No,4.6,42,0.31,347.61,0.0
2025-08-04,Monday,Summer,New York,Hostel,341.36,0.92,306.33,94.89,No,3.1,20,0.64,444.68,0.0
2025-08-05,Tuesday,Summer,Miami,Hostel,137.55,0.33,144.01,66.62,Yes,4.3,28,0.86,135.29,13.1
2025-08-06,Wednesday,Summer,Los Angeles,Hotel,190.09,0.69,206.53,49.08,Yes,3.8,24,0.67,216.72,6.8
2025-08-07,Thursday,Summer,New York,Airbnb,436.74,0.84,381.64,50.67,Yes,4.6,41,0.94,562.53,0.0
2025-08-08,Friday,Summer,New York,Hostel,241.04,0.27,271.48,56.15,Yes,4.1,46,0.97,223.14,14.0
2025-08-09,Saturday,Summer,San Francisco,Hostel,418.63,0.91,373.1,44.84,No,4.2,57,0.55,391.37,18.6
